Account,Text,Date,Compound,Positive,Neutral,Negative
@BBC,Seven charts that explain the plastic pollution problem. ? https://t.co/lunEPtp1f1 https://t.co/T4zi0jF6zO,12/11/17,-0.402,0.0,0.769,0.231
@BBC,"?? @Nigella_Lawson decamps to the countryside for her cosiest Christmas yet, against a backdrop of crackling log fi… https://t.co/fwrCQbIE3o",12/11/17,0.0,0.0,1.0,0.0
@BBC,??? Care home residents across the UK are decorating their walking frames as part of a project called #PimpMyZimmer… https://t.co/VDZz3ly5oG,12/11/17,0.494,0.151,0.849,0.0
@BBC,"In the last 50,000 years, around 101 billion people have lived &amp; died on planet Earth. So what will we do with all… https://t.co/NpeQCCauhP",12/11/17,-0.557,0.0,0.865,0.135
@BBC,"You might have listened to these songs for years, but do you actually know the lyrics to some on the most well-know… https://t.co/Y0B4avJabB",12/11/17,0.0,0.0,1.0,0.0
@BBC,A fictional short story called 'Cat Person' is being shared widely online as social media users discuss how much it… https://t.co/pPfEO5gQHQ,12/11/17,0.34,0.112,0.888,0.0
@BBC,"This amateur pianist amazed passers-by in Manchester with his dance music renditions. ?
Via @BBC5Live. https://t.co/tifSk25A6X",12/11/17,0.494,0.186,0.814,0.0
@BBC,"RT @BBCRadio4: Exclusive first preview of the magical Anansi Boys. A little taste of our new @neilhimself drama, coming to you this Christm…",12/11/17,0.128,0.067,0.933,0.0
@BBC,"RT @TWBBC: Keith Chegwin, who has died aged 60, demonstrating the latest in baby feeding technology on the 1987 Tomorrow's World Christmas…",12/11/17,-0.557,0.0,0.854,0.146
@BBC,'To infinity and beyond!' ? ? ? Toy Story is available on @BBCiPlayer now.  https://t.co/Nh0nXJd0Pc https://t.co/QngQwVmWzG,12/11/17,0.0,0.0,1.0,0.0
@BBC,RT @bbcwritersroom: The Miniaturist begins on @BBCOne on Boxing Day. We spoke to #screenwriter @JohnBrownlow about how he met the challenge…,12/11/17,0.0,0.0,1.0,0.0
@BBC,"RT @bbcmusic: ""I’ve poured my heart into my music""
@SelenaGomez popped into @R1Breakfast this morning ?
? https://t.co/hnFjtHhpRW https://t…",12/11/17,0.0,0.0,1.0,0.0
@BBC,"RT @CBeebiesHQ: Ready for an early Christmas present? ?

A week filled with NEW Bedtime Stories! ??

Starts tonight with @FloellaBenjamin a…",12/11/17,0.42,0.128,0.872,0.0
@BBC,The nominations for the 75th annual Golden Globe Awards have been announced. Here's the full shortlist. ?… https://t.co/HxpWgQgbI9,12/11/17,0.459,0.15,0.85,0.0
@BBC,Christopher Plummer has been nominated for a Golden Globe for the role in which he replaced Kevin Spacey.… https://t.co/wEaNVH6tcB,12/11/17,0.0,0.0,1.0,0.0
@BBC,"Scotland, looking so beautiful under a blanket of ice. ?
Via @BBCScotland. https://t.co/CHUXsO10hF",12/11/17,0.718,0.333,0.667,0.0
@BBC,RT @bbcthree: Someone in the UK watched Bee Movie 357 times on Netflix in 2017 https://t.co/5ovfKX1TIa https://t.co/E8vAQlaEMF,12/11/17,0.0,0.0,1.0,0.0
@BBC,? @CalvinHarris is under pressure to remix the Spice Girls classic 2 become 1 after saying he'd do it if same-sex m… https://t.co/vm73kheGdN,12/11/17,-0.296,0.0,0.896,0.104
@BBC,"RT @bbcmusic: Watch an exclusive performance of @U2's classic 'All I Want Is You' now on @BBCiPlayer
U2 At The BBC: coming to @BBCOne 19/12…",12/11/17,0.202,0.113,0.887,0.0
@BBC,"RT @bbcthree: ""THIS IS WHAT HAPPENS WHEN YOU CHUCK YOUR PLASTIC BAGS IN THE SEA"" 

@kuruptfm on #BluePlanet2. https://t.co/Icp7ZM6lxC",12/11/17,0.0,0.0,1.0,0.0
@BBC,"Veteran TV presenter Keith Chegwin has died aged 60 after a long illness, his family says. ???… https://t.co/BIjMIDsjGF",12/11/17,-0.743,0.0,0.704,0.296
@BBC,RT @BBCNews: TV's Keith Chegwin dies aged 60 https://t.co/F3rRCKMpGA,12/11/17,0.0,0.0,1.0,0.0
@BBC,"More than 1/4 of mothers have had their parenting skills criticised by their own parents, &amp; 14% by strangers.… https://t.co/VO2IUn3fuy",12/11/17,-0.421,0.0,0.872,0.128
@BBC,"From bird-eating fish to the Bobbit worm, here are some of the (many, many) times that #BluePlanet2 blew our minds.… https://t.co/saTflTmI4n",12/11/17,0.0,0.0,1.0,0.0
@BBC,"RT @BBCR1: ? This year, to save me from tears
I'll give it to someone special ?

@RitaOra just kicked off our week of Christmas Live Lounge…",12/11/17,0.612,0.198,0.738,0.064
@BBC,Why the lion is art's most enduring symbol. ?? https://t.co/0xtVFKWy37 https://t.co/FjX1YTK8fH,12/11/17,0.0,0.0,1.0,0.0
@BBC,Ever wondered who you'd be if you were in the Star Wars universe (you definitely have)? Here's your chance to find… https://t.co/C47rTXyEJJ,12/11/17,0.026,0.172,0.696,0.132
@BBC,The defect that causes the neurodegenerative disease Huntington's has been corrected in patients for the first time… https://t.co/1WD70ilzab,12/11/17,-0.34,0.0,0.876,0.124
@BBC,'We keep it well fed with liquid fertiliser as feeding it on its natural diet might prove a bit problematic.' ??… https://t.co/0zuDEVwnOd,12/11/17,0.557,0.195,0.805,0.0
@BBC,"It's time to change our plastic bottle behaviour. #BluePlanet2 
Via @BBC5Live https://t.co/kSzSawpYLv",12/11/17,0.0,0.0,1.0,0.0
@BBC,"RT @BBCOne: “Give nature just that chance and it’ll come back.” 
Listen to the inspiring interview with Sir David Attenborough in full on t…",12/11/17,0.586,0.179,0.821,0.0
@BBC,"RT @BBCRadio4: ? ""You might hear a single pine needle drop.""
We asked Maxine Peake to read our Christmas poem.
#ListenToChristmas https://t…",12/11/17,0.0,0.0,1.0,0.0
@BBC,"RT @bbcmusic: The amazing @RitaOra joins @BBCR1 for a festive Live Lounge today ?
Listen live from 12pm: https://t.co/G6HAvsCVbm https://t.…",12/11/17,0.778,0.298,0.702,0.0
@BBC,"RT @BBCSpringwatch: How can we sustainably use our fish stocks to make sure there is enough for everyone?
#BluePlanet2 #OurBluePlanet https…",12/11/17,0.318,0.103,0.897,0.0
@BBC,"RT @BBCTwo: Two of the most dangerous men in #PeakyBlinders.

In the same room.

At the same time. 

Here's an EXCLUSIVE look at the moment…",12/11/17,-0.287,0.078,0.803,0.119
@BBC,???? Some brrrr-illiant cold snap snaps from the recent snowfall in the UK. ? https://t.co/AGS3V858KT https://t.co/xJmRwUlZlx,12/11/17,0.0,0.0,1.0,0.0
@BBC,"Britain has a new tallest mountain! ???
Mount Hope, sited in the part of the Antarctic claimed by the UK, is more t… https://t.co/KTFGAAB0cU",12/11/17,0.493,0.127,0.873,0.0
@BBC,?? Instagram has announced their decision to ban the use of certain hashtags to help prevent dangerous animal touri… https://t.co/qQmDDRHbYu,12/11/17,-0.421,0.214,0.543,0.243
@BBC,How do you re-create Buckingham Palace? @BBCClick sat down with #TheCrown's visual effects supervisor to find out.… https://t.co/LukVoPSKHm,12/11/17,0.0,0.0,1.0,0.0
@BBC,Unseen for 1000 years: how one man unearthed an astonishing collection of ancient Viking plunder. ?… https://t.co/qb2rmMTsx1,12/11/17,0.0,0.0,1.0,0.0
@BBC,Charles took up sprinting at 95 and became a world champion! ??? Via @BBCStories. https://t.co/9yprG6XcSa,12/11/17,0.636,0.244,0.756,0.0
@BBC,"A town in Northern Ireland has the fastest runners in the UK, according to data collected by a fitness app. ??… https://t.co/KjaNDPPwVS",12/11/17,0.273,0.1,0.9,0.0
@BBC,"RT @BBCOne: SO. MUCH. CUTE. ?
#AttenboroughandtheGiantElephant https://t.co/4UyVvh6qBm",12/10/17,0.692,0.44,0.56,0.0
@BBC,RT @BBCEarth: 'Never before have we had such an awareness of what we are doing to the planet and never before have we had the power to do s…,12/10/17,0.0,0.0,1.0,0.0
@BBC,"?@DuaLipa performing 'Homesick' was a completely stunning way to end this series of #SLFN. ?
Watch in full ?… https://t.co/LgMlMfnv7F",12/10/17,0.439,0.145,0.855,0.0
@BBC,"RT @BBCEarth: 'What shocks me ...is how fast things are changing here. We’re headed into uncharted territory' - @expeditionlog
#BluePlanet2…",12/10/17,-0.382,0.0,0.874,0.126
@BBC,"RT @BBCOne: If we don’t act, coral reefs could be gone by the end of this century. ? #BluePlanet2 https://t.co/OdOSKBtz0S",12/10/17,0.0,0.0,1.0,0.0
@BBC,"RT @BBCEarth: In 1986, many nations decided to end commercial whaling, and fishermen are now reporting pods of whales with numbers never se…",12/10/17,0.0,0.0,1.0,0.0
@BBC,"Little things can make a big difference.
#BluePlanet2 via @BBCEarth https://t.co/hyzwA06cNw",12/10/17,0.0,0.0,1.0,0.0
@BBC,"RT @BBCSpringwatch: Manmade materials are destroying #OurBluePlanet - this is how
#BluePlanet2 
https://t.co/sEccQzjv1r https://t.co/7ZmDOz…",12/10/17,-0.557,0.0,0.769,0.231
@BBC,"RT @BBCEarth: It’s estimated that tens of millions of sharks are killed each year from getting trapped in fishing nets
#BluePlanet2 https:/…",12/10/17,-0.836,0.0,0.717,0.283
@BBC,RT @BBCOne: These are *all* items regurgitated by birds. ? #BluePlanet2 https://t.co/WyFtZHjKjx,12/10/17,0.0,0.0,1.0,0.0
@BBC,"RT @BBCOne: Our rubbish, our responsibility. ? #BluePlanet2 

Find out more about what you can do to help: https://t.co/LiA3x5I2gk. https:/…",12/10/17,0.402,0.13,0.87,0.0
@BBC,Eight delightful dolphin photos that'll inspire you to help clean up our oceans. #BluePlanet2 ????… https://t.co/PP5l7QrqFP,12/10/17,0.917,0.518,0.482,0.0
@BBC,"RT @BBCEarth: ‘We’re only now beginning to realise what an impact noise is having on the inhabitants of the ocean’ – David Attenborough
#Bl…",12/10/17,0.0,0.0,1.0,0.0
@BBC,"RT @BBCOne: ""The oceans are under threat now as never ever before in human history."" - Sir David Attenborough. #BluePlanet2 https://t.co/yn…",12/10/17,-0.527,0.0,0.848,0.152
@BBC,"RT @BBCEarth: The countdown is on! The final episode of #BluePlanet2: Our Blue Planet starts 8pm GMT on @BBCOne, BBC Earth Nordics &amp; @BBCEa…",12/10/17,0.0,0.0,1.0,0.0
@BBC,"RT @BBCSpringwatch: Seven British conservation heroes you should know about - this lot deserve endless ????
#BluePlanet2 #OurBluePlanet 
ht…",12/10/17,0.511,0.163,0.837,0.0
@BBC,"'Good luck, little leatherback' - Sir David Attenborough ?

#BluePlanet2 | 8PM | @BBCOne https://t.co/vMliWBZFBE",12/10/17,0.71,0.396,0.604,0.0
@BBC,"'There's a huge bomb up there. I'm 76% sure. It's not like the penguin hostage situation.' ??
#ScotSquad via… https://t.co/x8I92iMImk",12/10/17,-0.18,0.185,0.602,0.213
